datetime,total_tweets,total_climate_tweets,high_engagement_climate_tweets,week,year,week_id
2021-04-18 00:00:00+00:00,19900,2,1.0,15,2021,2021_15
2021-04-25 00:00:00+00:00,20756,30,13.0,16,2021,2021_16
2021-05-02 00:00:00+00:00,20555,2,1.0,17,2021,2021_17
2021-05-09 00:00:00+00:00,19226,9,5.0,18,2021,2021_18
2021-05-16 00:00:00+00:00,19191,7,0.0,19,2021,2021_19
2021-05-23 00:00:00+00:00,19400,15,0.0,20,2021,2021_20
2021-05-30 00:00:00+00:00,19771,1,0.0,21,2021,2021_21
2021-06-06 00:00:00+00:00,18597,12,5.0,22,2021,2021_22
2021-06-13 00:00:00+00:00,19823,9,0.0,23,2021,2021_23
2021-06-20 00:00:00+00:00,19740,11,1.0,24,2021,2021_24
2021-06-27 00:00:00+00:00,19942,1,0.0,25,2021,2021_25
2021-07-04 00:00:00+00:00,20541,4,2.0,26,2021,2021_26
2021-07-11 00:00:00+00:00,19755,1,0.0,27,2021,2021_27
2021-07-18 00:00:00+00:00,20703,4,1.0,28,2021,2021_28
2021-07-25 00:00:00+00:00,20760,2,0.0,29,2021,2021_29
2021-08-01 00:00:00+00:00,21062,0,0.0,30,2021,2021_30
2021-08-08 00:00:00+00:00,20352,3,0.0,31,2021,2021_31
2021-08-15 00:00:00+00:00,19597,18,10.0,32,2021,2021_32
2021-08-22 00:00:00+00:00,19175,7,1.0,33,2021,2021_33
2021-08-29 00:00:00+00:00,19697,30,4.0,34,2021,2021_34
2021-09-05 00:00:00+00:00,18747,23,4.0,35,2021,2021_35
2021-09-12 00:00:00+00:00,19451,7,0.0,36,2021,2021_36
2021-09-19 00:00:00+00:00,20557,10,1.0,37,2021,2021_37
2021-09-26 00:00:00+00:00,20695,17,6.0,38,2021,2021_38
2021-10-03 00:00:00+00:00,20018,44,23.0,39,2021,2021_39
2021-10-10 00:00:00+00:00,20284,18,3.0,40,2021,2021_40
